"","Timestamp","Machine","Temperature","Pressure","PartLength","PartResistance"
"1",2022-03-08 00:00:00,1,303,100,49.1424182901383,6.3272264453148
"2",2022-03-08 00:00:05,1,303,100,48.2763373381318,6.24009211214507
"3",2022-03-08 00:00:10,1,303,100,49.6913857129929,6.10803006024212
"4",2022-03-08 00:00:15,1,303,100,49.4036052427972,6.61789241045265
"5",2022-03-08 00:00:20,1,303,100,48.7439029730988,6.33088550903846
"6",2022-03-08 00:00:25,1,303,100,49.3876437729297,6.69420532253528
"7",2022-03-08 00:00:30,1,303,100,48.5735409156625,6.1641805772541
"8",2022-03-08 00:00:35,1,303,100,49.0316512237002,5.97857731572713
"9",2022-03-08 00:00:40,1,303,100,48.5965084174291,6.13103580578159
"10",2022-03-08 00:00:45,1,303,100,47.9750801894896,6.55553861871817
"11",2022-03-08 00:00:50,1,303,100,48.5409368309832,6.02033549134368
"12",2022-03-08 00:00:55,1,303,100,48.6606586268477,6.32544002684616
"13",2022-03-08 00:01:00,1,303,100,49.5816175889783,6.08213156635076
"14",2022-03-08 00:01:05,1,303,100,48.5114435770134,5.99799593574666
"15",2022-03-08 00:01:10,1,303,100,48.5185646842388,6.31313539112448
"16",2022-03-08 00:01:15,1,303,100,49.3002857216536,6.75441668770382
"17",2022-03-08 00:01:20,1,303,100,48.6702708170737,6.30299208114007
"18",2022-03-08 00:01:25,1,303,100,48.4852581904694,6.15257321637107
"19",2022-03-08 00:01:30,1,303,100,48.8468675673877,6.31347677550583
"20",2022-03-08 00:01:35,1,303,100,49.4685585249435,6.40810862397716
"21",2022-03-08 00:01:40,1,303,100,49.8471008301655,6.39732231071122
"22",2022-03-08 00:01:45,1,303,100,48.8150362776256,6.35164213317471
"23",2022-03-08 00:01:50,1,303,100,48.2498210308794,6.42765373071567
"24",2022-03-08 00:01:55,1,303,100,49.1568174041051,5.94530400847637
"25",2022-03-08 00:02:00,1,303,100,47.3624346030324,6.15732959675891
"26",2022-03-08 00:02:05,1,303,100,49.4240262760418,6.28854883507451
